PROVINCIE,GEMEENTENUMMER,GEMEENTENAAM,SOORT INSTELLING,TYPE HOGER ONDERWIJS,BRIN NUMMER ACTUEEL,INSTELLINGSNAAM ACTUEEL,CROHO ONDERDEEL,CROHO SUBONDERDEEL,OPLEIDINGSCODE ACTUEEL,OPLEIDINGSNAAM ACTUEEL,OPLEIDINGSVORM,OPLEIDINGSFASE ACTUEEL,2014 Man,2014 Vrouw,2015 Man,2015 Vrouw,2016 Man,2016 Vrouw,2017 Man,2017 Vrouw,2018 Man,2018 Vrouw
Gelderland,200,APELDOORN,WO kleine univ.,bachelor,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,23,8,28,11,31,10,20,7,49,15
Gelderland,200,APELDOORN,WO kleine univ.,bachelor,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,propedeuse bachelor,31,9,18,5,17,7,24,10,0,0
Gelderland,200,APELDOORN,WO kleine univ.,master,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,40,3,36,2,28,2,33,3,28,6
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,257,221,272,236,295,254,311,293,336,310
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,propedeuse bachelor,313,158,269,149,287,154,394,203,423,205
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,135,54,159,72,188,81,198,94,194,110
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,propedeuse bachelor,217,66,222,60,204,68,215,75,293,84
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,bachelor,18,115,20,92,19,76,21,75,15,82
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,propedeuse bachelor,16,34,18,44,15,44,14,43,13,53
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56601,B Sociologie,voltijd onderwijs,bachelor,28,67,26,66,27,60,25,63,17,59
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56601,B Sociologie,voltijd onderwijs,propedeuse bachelor,21,37,17,29,15,42,15,30,21,36
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56604,B Psychologie,voltijd onderwijs,bachelor,154,592,134,544,144,496,170,576,227,621
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56604,B Psychologie,voltijd onderwijs,propedeuse bachelor,153,400,140,359,243,577,196,452,133,421
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56606,B Politicologie,voltijd onderwijs,bachelor,91,52,106,55,127,71,147,69,116,83
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56606,B Politicologie,voltijd onderwijs,propedeuse bachelor,110,38,112,33,91,23,104,39,104,48
Gelderland,268,NIJMEGEN,reguliere inst.,bachelor,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56607,B Pedagogische Wetenschappen,voltijd onderwijs,bachelor,16,428,21,477,21,362,45,491,38,578
